,Aberdeen_gov_UTL_RATE,City_Hall_gov_UTL_RATE,Kennedy_Town_gov_UTL_RATE,Kwai_Fong_gov_UTL_RATE,Rumsey_Street_gov_UTL_RATE,Shau_Kei_Wan_gov_UTL_RATE,Sheung_Fung_Street_gov_UTL_RATE,Star_Ferry_gov_UTL_RATE,Tin_Hau_gov_UTL_RATE,Tsuen_Wan_gov_UTL_RATE,Yau_Ma_Tei_gov_UTL_RATE,YR_MTH
gov_UTL_RATE,74.061433447099,24.7058823529412,70.76923076923079,75.6813417190776,54.970059880239496,75.5844155844156,76.40449438202249,36.339522546419104,68.9252336448598,83.8532110091743,50.519480519480496,201911
gov_UTL_RATE,77.8156996587031,25.2941176470588,74.35897435897441,74.2138364779874,53.8922155688623,72.7272727272727,77.9026217228464,40.053050397877996,71.49532710280371,84.954128440367,51.428571428571395,201912
gov_UTL_RATE,76.4505119453925,27.058823529411804,73.3333333333333,66.6666666666667,48.14371257485029,74.025974025974,76.40449438202249,40.848806366047704,68.2242990654206,84.0366972477064,50.519480519480496,202001
gov_UTL_RATE,81.2,32.4,73.3,71.4,44.6,78.2,75.7,40.3,67.5,82.8,49.6,202002
gov_UTL_RATE,79.1808873720137,31.7647058823529,76.9230769230769,70.2448210922787,42.9940119760479,79.4805194805195,80.1498127340824,40.3183023872679,68.45794392523361,83.4862385321101,51.428571428571395,202003
gov_UTL_RATE,81.9112627986348,27.058823529411804,78.97435897435899,69.1148775894539,39.0419161676647,80.0,83.5205992509363,37.40053050397879,68.45794392523361,81.2844036697248,50.1298701298701,202004
gov_UTL_RATE,81.2286689419795,30.0,78.4615384615385,71.3747645951036,40.9580838323353,78.1818181818182,85.3932584269663,41.114058355437706,69.6261682242991,80.55045871559629,54.545454545454504,202005
gov_UTL_RATE,79.8634812286689,32.941176470588196,80.5128205128205,71.939736346516,40.4790419161677,77.40259740259741,81.6479400749064,42.970822281167095,72.42990654205609,78.7155963302752,55.194805194805205,202006
gov_UTL_RATE,80.8873720136519,31.1764705882353,79.4871794871795,72.50470809792841,42.9940119760479,78.44155844155841,80.1498127340824,39.7877984084881,71.49532710280371,81.46788990825691,53.766233766233796,202007
gov_UTL_RATE,77.4744027303754,27.647058823529395,78.97435897435899,71.5630885122411,43.4730538922156,79.22077922077919,82.3970037453184,37.40053050397879,68.2242990654206,81.46788990825691,51.9480519480519,202008
gov_UTL_RATE,75.4266211604096,31.7647058823529,77.4358974358974,71.939736346516,45.6287425149701,78.44155844155841,79.0262172284644,41.9098143236074,68.6915887850467,82.2018348623853,55.32467532467529,202009
gov_UTL_RATE,76.4505119453925,31.1764705882353,78.4615384615385,72.50470809792841,36.407185628742496,78.961038961039,78.6516853932584,42.970822281167095,67.2897196261682,83.8532110091743,51.038961038961,202010
gov_UTL_RATE,78.49829351535841,32.941176470588196,77.948717948718,71.3747645951036,37.9640718562874,79.4805194805195,79.0262172284644,44.8275862068966,69.1588785046729,82.38532110091741,74.5454545454545,202011
gov_UTL_RATE,76.4505119453925,26.470588235294105,80.5128205128205,73.0696798493409,37.6047904191617,80.77922077922081,77.5280898876404,40.053050397877996,68.9252336448598,83.11926605504591,60.571428571428605,202012
