,,,,Petrol,,Diesel,,Electric,,LP Gas,,,Others (1),,Total,
,,,,Registered,Licensed,Registered,Licensed,Registered,Licensed,Registered,,Licensed,Registered,Licensed,Registered,Licensed
"電單車 (無邊卡)
Motor Cycles (Solo)",,,, 93 040 , 64 839 , - , - ,43,38, - ,, - , - , - , 93 083 , 64 877 
"電單車 (連邊卡)
Motor Cycles (Combo)",,,,117,76, - , - , - , - , - ,, - , - , - ,117,76
"機動三輪車
Motor Tricycles",,,,960,866, - , - , - , - , - ,, - , - , - ,960,866
"私家車
Private Cars",,,, 622 923 , 543 539 , 11 968 , 11 196 , 18 212 , 17 757 , - ,, - ,104,76, 653 207 , 572 568 
"的士 (市區)
Taxis (Urban)",,,,3,3, - , - , - , - , 15 247 ,, 15 188 , - , - , 15 250 , 15 191 
"的士 (新界)
Taxis (NT)",,,, - , - , - , - , - , - , 2 838 ,, 2 815 , - , - , 2 838 , 2 815 
"的士 (大嶼山)
Taxis (Lantau)",,,, - , - , - , - , - , - ,75,,75, - , - ,75,75
"九巴
KMB",,,單層  SD, - , - ,125,125,18,16, - , - , - , - , - ,143,141
,,,雙層  DD, - , - , 3 836 , 3 811 , - , - , - , - , - , - , - , 3 836 , 3 811 
"城巴
Citybus",,,單層  SD, - , - ,28,26,6,4, - , - , - , - , - ,34,30
,,,雙層  DD, - , - ,999,896, - , - , - , - , - , - , - ,999,896
"新巴
NWFB",,,單層  SD, - , - ,13,13,4,4, - , - , - , - , - ,17,17
,,,雙層  DD, - , - ,673,673, - , - , - , - , - , - , - ,673,673
"龍運
LWB",,,單層  SD, - , - , - , - ,4,4, - , - , - , - , - ,4,4
,,,雙層  DD, - , - ,237,235, - , - , - , - , - , - , - ,237,235
"新大嶼山巴士
NLB",,,單層  SD, - , - ,90,90,2,2, - , - , - , - , - ,92,92
,,,雙層  DD, - , - ,58,58, - , - , - , - , - , - , - ,58,58
"港鐵巴士 (西鐵線/輕鐵)
MTR Buses (for West Rail Line/Light Rail)",,,單層  SD, - , - ,11,11, - , - , - , - , - , - , - ,11,11
,,,雙層  DD, - , - ,133,131, - , - , - , - , - , - , - ,133,131
"其他非專營公共巴士
Other Non-franchised Public Buses",,,單層  SD, - , - , 6 867 , 6 480 ,6,4, - , - , - , - , - , 6 873 , 6 484 
,,,雙層  DD, - , - ,173,165, - , - , - , - , - , - , - ,173,165
"私家巴士
Private Buses",,,單層  SD, - , - ,719,702,2,1, - , - , - , - , - ,721,703
,,,雙層  DD, - , - ,25,24, - , - , - , - , - , - , - ,25,24
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
表 4.4,,(續)      ,,,,,,,,,,,,,,
Table 4.4,,(cont'd)      ,,,,,,,,,,,,,,2021/01
,,,,,,,,,,,,,,,,
,,,,汽油,,柴油,,電力,,石油氣,,,其他 (1),,總計,
,,,,Petrol,,Diesel,,Electric,,LP Gas,,,Others (1),,Total,
,,,,登記總數,領牌總數,登記總數,領牌總數,登記總數,領牌總數,登記總數,,領牌總數,登記總數,領牌總數,登記總數,領牌總數
,,,,Registered,Licensed,Registered,Licensed,Registered,Licensed,Registered,,Licensed,Registered,Licensed,Registered,Licensed
,,,,,,,,,,,,,,,,
"公共小型巴士
Public Light Buses",,,, - , - ,783,754, - , - , 3 567 , - , 3 508 , - , - , 4 350 , 4 262 
"私家小型巴士
Private Light Buses",,,, - , - , 2 390 , 2 347 ,6,4, 1 162 , - , 1 148 , - , - , 3 558 , 3 499 
"輕型貨車
Light Goods Vehicles",,,,644,474, 75 244 , 73 610 ,163,156, - , - , - , - , - , 76 051 , 74 240 
"中型貨車
Medium Goods Vehicles",,,, - , - , 35 998 , 35 273 ,1,1, - , - , - , - , - , 35 999 , 35 274 
"重型貨車
Heavy Goods Vehicles",,,, - , - , 6 816 , 6 641 , - , - , - , - , - , - , - , 6 816 , 6 641 
"特別用途車輛
Special Purpose Vehicles",,,,63,43, 1 734 , 1 574 ,113,87,194, - ,148,2,2, 2 106 , 1 854 
"總計 (2)
Total (2)",,,, 717 750 , 609 840 , 148 920 , 144 835 , 18 580 , 18 078 , 23 083 ,, 22 882 ,106,78, 908 439 , 795 713 
,,,,,,,,,,,,,,,,
註 :,,  月底數字,,,,,,,Notes :,,Figures as at end of the month.,,,,,
,,(1)   包括各種其發動機為「渦輪引擎」、「燃油電池車」,,,,,,,,-1,"Including various vehicles with power plants such as turbine engines, fuel cell vehicles, etc. of which fuel types cannot be further classified.",,,,,
,,        等的車輛，它們的燃料種類不能進一步被劃分。,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,(2)   不包括政府車輛。,,,,,,,,-2,Excluding government vehicles.,,,,,
,,SD -  單層,,,,,,,,SD,#NAME?,,,,,
,,DD -  雙層,,,,,,,,DD,#NAME?,,,,,
,,,,,,,,,,,,,,,,
資料來源 : ,,  牌照電腦計劃及牌照事務部,,,,,,,Source : ,,VALID & Licensing Division ,,,,,
