表 4.4,,: 按燃料種類劃分的車輛登記及領牌統計數字 (二零一九年三月),,,,,,,,,,,,,,
Table 4.4,,:  Registration and Licensing of Vehicles by Fuel Type (March 2019),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2019/03
,,,,,,,,,,,,,,,,
,,,,汽油,,柴油,,電力,,石油氣,,,其他 (1),,總計,
,,,,Petrol,,Diesel,,Electric,,LP Gas,,,Others (1),,Total,
,,,,登記總數,領牌總數,登記總數,領牌總數,登記總數,領牌總數,登記總數,,領牌總數,登記總數,領牌總數,登記總數,領牌總數
,,,,Registered,Licensed,Registered,Licensed,Registered,Licensed,Registered,,Licensed,Registered,Licensed,Registered,Licensed
,,,,,,,,,,,,,,,,
"電單車 (無邊卡)
Motor Cycles (Solo)",,,, 79 928 , 55 398 , - , - ,  19 ,  11 , - ,, - , - , - , 79 947 , 55 409 
"電單車 (連邊卡)
Motor Cycles (Combo)",,,,  89 ,  67 , - , - , - , - , - ,, - , - , - ,  89 ,  67 
"機動三輪車
Motor Tricycles",,,,  704 ,  650 , - , - , - , - , - ,, - , - , - ,  704 ,  650 
"私家車
Private Cars",,,, 597 435 , 545 607 , 11 998 , 11 393 , 11 237 , 10 565 , - ,, - ,  82 ,  60 , 620 752 , 567 625 
"的士 (市區)
Taxis (Urban)",,,,  4 ,  4 , - , - , - , - , 15 246 ,, 15 234 , - , - , 15 250 , 15 238 
"的士 (新界)
Taxis (NT)",,,, - , - , - , - , - , - , 2 838 ,, 2 834 , - , - , 2 838 , 2 834 
"的士 (大嶼山)
Taxis (Lantau)",,,, - , - , - , - , - , - ,  75 ,,  75 , - , - ,  75 ,  75 
"九巴
KMB",,,單層  SD, - , - ,  131 ,  129 ,  17 ,  17 , - , - , - , - , - ,  148 ,  146 
,,,雙層  DD, - , - , 3 986 , 3 913 , - , - , - , - , - , - , - , 3 986 , 3 913 
"城巴
Citybus",,,單層  SD, - , - ,  32 ,  32 ,  6 ,  6 , - , - , - , - , - ,  38 ,  38 
,,,雙層  DD, - , - ,  968 ,  954 , - , - , - , - , - , - , - ,  968 ,  954 
"新巴
NWFB",,,單層  SD, - , - ,  13 ,  13 ,  4 ,  4 , - , - , - , - , - ,  17 ,  17 
