,,,,Petrol,,Diesel,,Electric,,LP Gas,,,Others (1),,Total,
,,,,Registered,Licensed,Registered,Licensed,Registered,Licensed,Registered,,Licensed,Registered,Licensed,Registered,Licensed
"電單車 (無邊卡)
Motor Cycles (Solo)",,,, 93 619 , 65 799 , - , - ,45,38, - ,, - , - , - , 93 664 , 65 837 
"電單車 (連邊卡)
Motor Cycles (Combo)",,,,117,83, - , - , - , - , - ,, - , - , - ,117,83
"機動三輪車
Motor Tricycles",,,,965,875, - , - , - , - , - ,, - , - , - ,965,875
"私家車
Private Cars",,,, 623 557 , 546 648 , 11 967 , 11 238 , 18 688 , 18 237 , - ,, - ,105,78, 654 317 , 576 201 
"的士 (市區)
Taxis (Urban)",,,,3,3, - , - , - , - , 15 247 ,, 15 172 , - , - , 15 250 , 15 175 
"的士 (新界)
Taxis (NT)",,,, - , - , - , - , - , - , 2 838 ,, 2 818 , - , - , 2 838 , 2 818 
"的士 (大嶼山)
Taxis (Lantau)",,,, - , - , - , - , - , - ,75,,75, - , - ,75,75
"九巴
KMB",,,單層  SD, - , - ,125,125,18,16, - , - , - , - , - ,143,141
,,,雙層  DD, - , - , 3 900 , 3 879 , - , - , - , - , - , - , - , 3 900 , 3 879 
"城巴
Citybus",,,單層  SD, - , - ,28,28,6,5, - , - , - , - , - ,34,33
,,,雙層  DD, - , - ,996,941, - , - , - , - , - , - , - ,996,941
"新巴
NWFB",,,單層  SD, - , - ,13,13,4,4, - , - , - , - , - ,17,17
,,,雙層  DD, - , - ,673,672, - , - , - , - , - , - , - ,673,672
"龍運
LWB",,,單層  SD, - , - , - , - ,4,4, - , - , - , - , - ,4,4
,,,雙層  DD, - , - ,237,235, - , - , - , - , - , - , - ,237,235
"新大嶼山巴士
NLB",,,單層  SD, - , - ,90,88,2,2, - , - , - , - , - ,92,90
,,,雙層  DD, - , - ,58,58, - , - , - , - , - , - , - ,58,58
"港鐵巴士 (西鐵線/輕鐵)
MTR Buses (for West Rail Line/Light Rail)",,,單層  SD, - , - ,11,11, - , - , - , - , - , - , - ,11,11
,,,雙層  DD, - , - ,133,131, - , - , - , - , - , - , - ,133,131
"其他非專營公共巴士
Other Non-franchised Public Buses",,,單層  SD, - , - , 6 867 , 6 506 ,6,3, - , - , - , - , - , 6 873 , 6 509 
,,,雙層  DD, - , - ,173,165, - , - , - , - , - , - , - ,173,165
"私家巴士
Private Buses",,,單層  SD, - , - ,730,716,2,2, - , - , - , - , - ,732,718
,,,雙層  DD, - , - ,25,24, - , - , - , - , - , - , - ,25,24
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
表 4.4,,(續)      ,,,,,,,,,,,,,,
Table 4.4,,(cont'd)      ,,,,,,,,,,,,,,2021/02
,,,,,,,,,,,,,,,,
,,,,汽油,,柴油,,電力,,石油氣,,,其他 (1),,總計,
,,,,Petrol,,Diesel,,Electric,,LP Gas,,,Others (1),,Total,
,,,,登記總數,領牌總數,登記總數,領牌總數,登記總數,領牌總數,登記總數,,領牌總數,登記總數,領牌總數,登記總數,領牌總數
,,,,Registered,Licensed,Registered,Licensed,Registered,Licensed,Registered,,Licensed,Registered,Licensed,Registered,Licensed
,,,,,,,,,,,,,,,,
"公共小型巴士
Public Light Buses",,,, - , - ,780,756, - , - , 3 570 , - , 3 510 , - , - , 4 350 , 4 266 
"私家小型巴士
Private Light Buses",,,, - , - , 2 387 , 2 351 ,6,4, 1 167 , - , 1 154 , - , - , 3 560 , 3 509 
"輕型貨車
Light Goods Vehicles",,,,614,477, 75 260 , 73 826 ,164,158, - , - , - , - , - , 76 038 , 74 461 
"中型貨車
Medium Goods Vehicles",,,, - , - , 35 896 , 35 189 ,1,1, - , - , - , - , - , 35 897 , 35 190 
"重型貨車
Heavy Goods Vehicles",,,, - , - , 6 839 , 6 672 , - , - , - , - , - , - , - , 6 839 , 6 672 
"特別用途車輛
Special Purpose Vehicles",,,,63,43, 1 741 , 1 580 ,113,87,194, - ,148,2,2, 2 113 , 1 860 
"總計 (2)
Total (2)",,,, 718 938 , 613 928 , 148 929 , 145 204 , 19 059 , 18 561 , 23 091 ,, 22 877 ,107,80, 910 124 , 800 650 
,,,,,,,,,,,,,,,,
註 :,,  月底數字,,,,,,,Notes :,,Figures as at end of the month.,,,,,
,,(1)   包括各種其發動機為「渦輪引擎」、「燃油電池車」,,,,,,,,-1,"Including various vehicles with power plants such as turbine engines, fuel cell vehicles, etc. of which fuel types cannot be further classified.",,,,,
,,        等的車輛，它們的燃料種類不能進一步被劃分。,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,(2)   不包括政府車輛。,,,,,,,,-2,Excluding government vehicles.,,,,,
,,SD -  單層,,,,,,,,SD,#NAME?,,,,,
,,DD -  雙層,,,,,,,,DD,#NAME?,,,,,
,,,,,,,,,,,,,,,,
資料來源 : ,,  牌照電腦計劃及牌照事務部,,,,,,,Source : ,,VALID & Licensing Division ,,,,,
