表 4.4,,: 按燃料種類劃分的車輛登記及領牌統計數字 (二零一九年四月),,,,,,,,,,,,,,
Table 4.4,,:  Registration and Licensing of Vehicles by Fuel Type (April 2019),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2019/04
,,,,,,,,,,,,,,,,
,,,,汽油,,柴油,,電力,,石油氣,,,其他 (1),,總計,
,,,,Petrol,,Diesel,,Electric,,LP Gas,,,Others (1),,Total,
,,,,登記總數,領牌總數,登記總數,領牌總數,登記總數,領牌總數,登記總數,,領牌總數,登記總數,領牌總數,登記總數,領牌總數
,,,,Registered,Licensed,Registered,Licensed,Registered,Licensed,Registered,,Licensed,Registered,Licensed,Registered,Licensed
,,,,,,,,,,,,,,,,
"電單車 (無邊卡)
Motor Cycles (Solo)",,,, 80 331 , 55 744 , - , - ,  19 ,  10 , - ,, - , - , - , 80 350 , 55 754 
"電單車 (連邊卡)
Motor Cycles (Combo)",,,,  90 ,  69 , - , - , - , - , - ,, - , - , - ,  90 ,  69 
"機動三輪車
Motor Tricycles",,,,  721 ,  671 , - , - , - , - , - ,, - , - , - ,  721 ,  671 
"私家車
Private Cars",,,, 598 297 , 546 526 , 11 998 , 11 372 , 11 276 , 10 738 , - ,, - ,  77 ,  53 , 621 648 , 568 689 
"的士 (市區)
Taxis (Urban)",,,,  4 ,  4 , - , - , - , - , 15 246 ,, 15 229 , - , - , 15 250 , 15 233 
"的士 (新界)
Taxis (NT)",,,, - , - , - , - , - , - , 2 838 ,, 2 834 , - , - , 2 838 , 2 834 
"的士 (大嶼山)
Taxis (Lantau)",,,, - , - , - , - , - , - ,  75 ,,  75 , - , - ,  75 ,  75 
"九巴
KMB",,,單層  SD, - , - ,  131 ,  125 ,  17 ,  15 , - , - , - , - , - ,  148 ,  140 
,,,雙層  DD, - , - , 3 996 , 3 912 , - , - , - , - , - , - , - , 3 996 , 3 912 
"城巴
Citybus",,,單層  SD, - , - ,  32 ,  32 ,  6 ,  6 , - , - , - , - , - ,  38 ,  38 
,,,雙層  DD, - , - ,  966 ,  952 , - , - , - , - , - , - , - ,  966 ,  952 
"新巴
NWFB",,,單層  SD, - , - ,  13 ,  13 ,  4 ,  4 , - , - , - , - , - ,  17 ,  17 
,,,雙層  DD, - , - ,  685 ,  671 , - , - , - , - , - , - , - ,  685 ,  671 
"龍運
LWB",,,單層  SD, - , - , - , - ,  4 ,  4 , - , - , - , - , - ,  4 ,  4 
,,,雙層  DD, - , - ,  275 ,  273 , - , - , - , - , - , - , - ,  275 ,  273 
"新大嶼山巴士
NLB",,,單層  SD, - , - ,  96 ,  96 ,  2 ,  2 , - , - , - , - , - ,  98 ,  98 
,,,雙層  DD, - , - ,  53 ,  53 , - , - , - , - , - , - , - ,  53 ,  53 
"港鐵巴士 (西鐵線/輕鐵)
MTR Buses (for West Rail Line/Light Rail)",,,單層  SD, - , - ,  11 ,  11 , - , - , - , - , - , - , - ,  11 ,  11 
,,,雙層  DD, - , - ,  133 ,  133 , - , - , - , - , - , - , - ,  133 ,  133 
"其他非專營公共巴士
Other Non-franchised Public Buses",,,單層  SD, - , - , 6 860 , 6 830 ,  8 ,  6 , - , - , - , - , - , 6 868 , 6 836 
,,,雙層  DD, - , - ,  128 ,  128 , - , - , - , - , - , - , - ,  128 ,  128 
"私家巴士
Private Buses",,,單層  SD, - , - ,  690 ,  679 ,  2 ,  2 , - , - , - , - , - ,  692 ,  681 
,,,雙層  DD, - , - ,  29 ,  27 , - , - , - , - , - , - , - ,  29 ,  27 
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
表 4.4,,(續)      ,,,,,,,,,,,,,,
Table 4.4,,(cont'd)      ,,,,,,,,,,,,,,2019/04
,,,,,,,,,,,,,,,,
,,,,汽油,,柴油,,電力,,石油氣,,,其他 (1),,總計,
,,,,Petrol,,Diesel,,Electric,,LP Gas,,,Others (1),,Total,
,,,,登記總數,領牌總數,登記總數,領牌總數,登記總數,領牌總數,登記總數,,領牌總數,登記總數,領牌總數,登記總數,領牌總數
,,,,Registered,Licensed,Registered,Licensed,Registered,Licensed,Registered,,Licensed,Registered,Licensed,Registered,Licensed
,,,,,,,,,,,,,,,,
"公共小型巴士
Public Light Buses",,,, - , - ,  891 ,  882 , - , - , 3 458 , - , 3 443 , - , - , 4 349 , 4 325 
"私家小型巴士
Private Light Buses",,,, - , - , 2 319 , 2 288 ,  6 ,  5 , 1 088 , - , 1 088 , - , - , 3 413 , 3 381 
"輕型貨車
Light Goods Vehicles",,,,  710 ,  588 , 74 164 , 72 178 ,  110 ,  96 , - , - , - , - , - , 74 984 , 72 862 
"中型貨車
Medium Goods Vehicles",,,, - , - , 37 436 , 36 404 , - , - , - , - , - , - , - , 37 436 , 36 404 
"重型貨車
Heavy Goods Vehicles",,,, - , - , 6 634 , 6 415 , - , - , - , - , - , - , - , 6 634 , 6 415 
"特別用途車輛
Special Purpose Vehicles",,,,  67 ,  58 , 1 618 , 1 497 ,  104 ,  92 ,  202 , - ,  159 ,  2 ,  2 , 1 993 , 1 808 
"總計 (2)
Total (2)",,,, 680 220 , 603 660 , 149 158 , 144 971 , 11 558 , 10 980 , 22 907 ,, 22 828 ,  79 ,  55 , 863 922 , 782 494 
,,,,,,,,,,,,,,,,
註 :,,  月底數字,,,,,,,Notes :,,Figures as at end of the month.,,,,,
,,(1)   包括各種其發動機為「渦輪引擎」、「燃油電池車」,,,,,,,,(1),"Including various vehicles with power plants such as turbine engines, fuel cell vehicles, etc. of which fuel types cannot be further classified.",,,,,
,,        等的車輛，它們的燃料種類不能進一步被劃分。,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,(2)   不包括政府車輛。,,,,,,,,(2),Excluding government vehicles.,,,,,
,,SD -  單層,,,,,,,,SD,-  Single Deck,,,,,
,,DD -  雙層,,,,,,,,DD,-  Double Deck,,,,,
,,,,,,,,,,,,,,,,
資料來源 : ,,  牌照電腦計劃及牌照事務部,,,,,,,Source : ,,VALID & Licensing Division ,,,,,
