EV,PETROL,DIESEL,period
1329,537873,4316,201501
1412,540742,4666,201502
1597,542150,4741,201503
1730,543112,4886,201504
1863,544407,5013,201505
2012,546965,5173,201506
2090,548324,5241,201507
2275,549750,5290,201508
2514,551766,5368,201509
2869,553921,5431,201510
3304,555863,5516,201511
3806,558369,5655,201512
