EV,PETROL,DIESEL,period
292,494222,2291,201301
297,495909,2292,201302
297,498394,2296,201303
303,499553,2292,201304
304,501271,2294,201305
308,502944,2293,201306
309,504610,2296,201307
309,506384,2308,201308
309,508394,2350,201309
310,510712,2375,201310
311,512809,2398,201311
317,515041,2606,201312
