EV,PETROL,DIESEL,period
4076,513423,5710,201601
4240,560285,5765,201602
4753,561064,5847,201603
4899,562053,5929,201604
4981,562898,5988,201605
5184,563750,6143,201606
5481,564396,6294,201607
5770,564972,6505,201608
6298,566030,6741,201609
6459,566827,7046,201610
6625,567816,7278,201611
6829,568638,7532,201612
