表 4.4,,: 按燃料種類劃分的車輛登記及領牌統計數字 (二零一九年二月),,,,,,,,,,,,,,
Table 4.4,,:  Registration and Licensing of Vehicles by Fuel Type (February 2019),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2019/02
,,,,,,,,,,,,,,,,
,,,,汽油,,柴油,,電力,,石油氣,,,其他 (1),,總計,
,,,,Petrol,,Diesel,,Electric,,LP Gas,,,Others (1),,Total,
,,,,登記總數,領牌總數,登記總數,領牌總數,登記總數,領牌總數,登記總數,,領牌總數,登記總數,領牌總數,登記總數,領牌總數
,,,,Registered,Licensed,Registered,Licensed,Registered,Licensed,Registered,,Licensed,Registered,Licensed,Registered,Licensed
,,,,,,,,,,,,,,,,
"電單車 (無邊卡)
Motor Cycles (Solo)",,,, 79 568 , 55 295 , - , - ,  19 ,  10 , - ,, - , - , - , 79 587 , 55 305 
"電單車 (連邊卡)
Motor Cycles (Combo)",,,,  85 ,  66 , - , - , - , - , - ,, - , - , - ,  85 ,  66 
"機動三輪車
Motor Tricycles",,,,  693 ,  644 , - , - , - , - , - ,, - , - , - ,  693 ,  644 
"私家車
Private Cars",,,, 596 411 , 545 307 , 11 998 , 11 406 , 11 166 , 10 715 , - ,, - ,  79 ,  58 , 619 654 , 567 486 
"的士 (市區)
Taxis (Urban)",,,,  4 ,  4 , - , - , - , - , 15 246 ,, 15 233 , - , - , 15 250 , 15 237 
"的士 (新界)
Taxis (NT)",,,, - , - , - , - , - , - , 2 838 ,, 2 831 , - , - , 2 838 , 2 831 
"的士 (大嶼山)
Taxis (Lantau)",,,, - , - , - , - , - , - ,  75 ,,  75 , - , - ,  75 ,  75 
"九巴
KMB",,,單層  SD, - , - ,  131 ,  131 ,  17 ,  17 , - , - , - , - , - ,  148 ,  148 
,,,雙層  DD, - , - , 3 974 , 3 915 , - , - , - , - , - , - , - , 3 974 , 3 915 
"城巴
Citybus",,,單層  SD, - , - ,  32 ,  32 ,  6 ,  6 , - , - , - , - , - ,  38 ,  38 
,,,雙層  DD, - , - ,  969 ,  955 , - , - , - , - , - , - , - ,  969 ,  955 
"新巴
NWFB",,,單層  SD, - , - ,  13 ,  13 ,  4 ,  4 , - , - , - , - , - ,  17 ,  17 
,,,雙層  DD, - , - ,  690 ,  667 , - , - , - , - , - , - , - ,  690 ,  667 
"龍運
LWB",,,單層  SD, - , - , - , - ,  4 ,  4 , - , - , - , - , - ,  4 ,  4 
,,,雙層  DD, - , - ,  271 ,  270 , - , - , - , - , - , - , - ,  271 ,  270 
"新大嶼山巴士
NLB",,,單層  SD, - , - ,  98 ,  98 ,  2 ,  2 , - , - , - , - , - ,  100 ,  100 
,,,雙層  DD, - , - ,  53 ,  53 , - , - , - , - , - , - , - ,  53 ,  53 
"港鐵巴士 (西鐵線/輕鐵)
MTR Buses (for West Rail Line/Light Rail)",,,單層  SD, - , - ,  11 ,  11 , - , - , - , - , - , - , - ,  11 ,  11 
,,,雙層  DD, - , - ,  133 ,  132 , - , - , - , - , - , - , - ,  133 ,  132 
