,,,,Petrol,,Diesel,,Electric,,LP Gas,,,Others (1),,Total,
,,,,Registered,Licensed,Registered,Licensed,Registered,Licensed,Registered,,Licensed,Registered,Licensed,Registered,Licensed
"電單車 (無邊卡)
Motor Cycles (Solo)",,,, 90 080 , 63 028 , - , - ,27,22, - ,, - , - , - , 90 107 , 63 050 
"電單車 (連邊卡)
Motor Cycles (Combo)",,,,117,84, - , - , - , - , - ,, - , - , - ,117,84
"機動三輪車
Motor Tricycles",,,,926,849, - , - , - , - , - ,, - , - , - ,926,849
"私家車
Private Cars",,,, 615 024 , 546 778 , 11 971 , 11 265 , 16 324 , 15 927 , - ,, - ,103,75, 643 422 , 574 045 
"的士 (市區)
Taxis (Urban)",,,,3,3, - , - , - , - , 15 247 ,, 15 173 , - , - , 15 250 , 15 176 
"的士 (新界)
Taxis (NT)",,,, - , - , - , - , - , - , 2 838 ,, 2 816 , - , - , 2 838 , 2 816 
"的士 (大嶼山)
Taxis (Lantau)",,,, - , - , - , - , - , - ,75,,75, - , - ,75,75
"九巴
KMB",,,單層  SD, - , - ,125,123,18,16, - , - , - , - , - ,143,139
,,,雙層  DD, - , - , 3 882 , 3 836 , - , - , - , - , - , - , - , 3 882 , 3 836 
"城巴
Citybus",,,單層  SD, - , - ,28,26,6,5, - , - , - , - , - ,34,31
,,,雙層  DD, - , - , 1 014 ,986, - , - , - , - , - , - , - , 1 014 ,986
"新巴
NWFB",,,單層  SD, - , - ,13,13,4,4, - , - , - , - , - ,17,17
,,,雙層  DD, - , - ,673,673, - , - , - , - , - , - , - ,673,673
"龍運
LWB",,,單層  SD, - , - , - , - ,4,4, - , - , - , - , - ,4,4
,,,雙層  DD, - , - ,275,273, - , - , - , - , - , - , - ,275,273
"新大嶼山巴士
NLB",,,單層  SD, - , - ,90,90,2,2, - , - , - , - , - ,92,92
,,,雙層  DD, - , - ,58,58, - , - , - , - , - , - , - ,58,58
"港鐵巴士 (西鐵線/輕鐵)
MTR Buses (for West Rail Line/Light Rail)",,,單層  SD, - , - ,11,11, - , - , - , - , - , - , - ,11,11
,,,雙層  DD, - , - ,133,132, - , - , - , - , - , - , - ,133,132
"其他非專營公共巴士
Other Non-franchised Public Buses",,,單層  SD, - , - , 6 951 , 6 594 ,6,5, - , - , - , - , - , 6 957 , 6 599 
,,,雙層  DD, - , - ,173,173, - , - , - , - , - , - , - ,173,173
"私家巴士
Private Buses",,,單層  SD, - , - ,718,705,2,2, - , - , - , - , - ,720,707
,,,雙層  DD, - , - ,25,24, - , - , - , - , - , - , - ,25,24
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
表 4.4,,(續)      ,,,,,,,,,,,,,,
Table 4.4,,(cont'd)      ,,,,,,,,,,,,,,2020/09
,,,,,,,,,,,,,,,,
,,,,汽油,,柴油,,電力,,石油氣,,,其他 (1),,總計,
,,,,Petrol,,Diesel,,Electric,,LP Gas,,,Others (1),,Total,
,,,,登記總數,領牌總數,登記總數,領牌總數,登記總數,領牌總數,登記總數,,領牌總數,登記總數,領牌總數,登記總數,領牌總數
,,,,Registered,Licensed,Registered,Licensed,Registered,Licensed,Registered,,Licensed,Registered,Licensed,Registered,Licensed
,,,,,,,,,,,,,,,,
"公共小型巴士
Public Light Buses",,,, - , - ,784,771, - , - , 3 566 , - , 3 519 , - , - , 4 350 , 4 290 
"私家小型巴士
Private Light Buses",,,, - , - , 2 406 , 2 364 ,6,5, 1 145 , - , 1 137 , - , - , 3 557 , 3 506 
"輕型貨車
Light Goods Vehicles",,,,648,483, 75 730 , 73 907 ,152,144, - , - , - , - , - , 76 530 , 74 534 
"中型貨車
Medium Goods Vehicles",,,, - , - , 36 851 , 35 931 ,1,1, - , - , - , - , - , 36 852 , 35 932 
"重型貨車
Heavy Goods Vehicles",,,, - , - , 6 788 , 6 587 , - , - , - , - , - , - , - , 6 788 , 6 587 
"特別用途車輛
Special Purpose Vehicles",,,,63,46, 1 705 , 1 558 ,111,85,192, - ,155,2,2, 2 073 , 1 846 
"總計 (2)
Total (2)",,,, 706 861 , 611 271 , 150 404 , 146 100 , 16 663 , 16 222 , 23 063 ,, 22 875 ,105,77, 897 096 , 796 545 
,,,,,,,,,,,,,,,,
註 :,,  月底數字,,,,,,,Notes :,,Figures as at end of the month.,,,,,
,,(1)   包括各種其發動機為「渦輪引擎」、「燃油電池車」,,,,,,,,-1,"Including various vehicles with power plants such as turbine engines, fuel cell vehicles, etc. of which fuel types cannot be further classified.",,,,,
,,        等的車輛，它們的燃料種類不能進一步被劃分。,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,(2)   不包括政府車輛。,,,,,,,,-2,Excluding government vehicles.,,,,,
,,SD -  單層,,,,,,,,SD,#NAME?,,,,,
,,DD -  雙層,,,,,,,,DD,#NAME?,,,,,
,,,,,,,,,,,,,,,,
資料來源 : ,,  牌照電腦計劃及牌照事務部,,,,,,,Source : ,,VALID & Licensing Division ,,,,,
