,,,,Petrol,,Diesel,,Electric,,LP Gas,,,Others (1),,Total,
,,,,Registered,Licensed,Registered,Licensed,Registered,Licensed,Registered,,Licensed,Registered,Licensed,Registered,Licensed
"電單車 (無邊卡)
Motor Cycles (Solo)",,,, 83 766 , 58 042 , - , - ,17,12, - ,, - , - , - , 83 783 , 58 054 
"電單車 (連邊卡)
Motor Cycles (Combo)",,,,112,83, - , - , - , - , - ,, - , - , - ,112,83
"機動三輪車
Motor Tricycles",,,,805,741, - , - , - , - , - ,, - , - , - ,805,741
"私家車
Private Cars",,,, 603 008 , 549 028 , 11 977 , 11 279 , 13 554 , 13 197 , - ,, - ,94,67, 628 633 , 573 571 
"的士 (市區)
Taxis (Urban)",,,,3,3, - , - , - , - , 15 247 ,, 15 226 , - , - , 15 250 , 15 229 
"的士 (新界)
Taxis (NT)",,,, - , - , - , - , - , - , 2 838 ,, 2 827 , - , - , 2 838 , 2 827 
"的士 (大嶼山)
Taxis (Lantau)",,,, - , - , - , - , - , - ,75,,75, - , - ,75,75
"九巴
KMB",,,單層  SD, - , - ,126,125,18,16, - , - , - , - , - ,144,141
,,,雙層  DD, - , - , 4 038 , 3 926 , - , - , - , - , - , - , - , 4 038 , 3 926 
"城巴
Citybus",,,單層  SD, - , - ,32,32,6,5, - , - , - , - , - ,38,37
,,,雙層  DD, - , - ,986,962, - , - , - , - , - , - , - ,986,962
"新巴
NWFB",,,單層  SD, - , - ,13,13,4,4, - , - , - , - , - ,17,17
,,,雙層  DD, - , - ,686,667, - , - , - , - , - , - , - ,686,667
"龍運
LWB",,,單層  SD, - , - , - , - ,4,4, - , - , - , - , - ,4,4
,,,雙層  DD, - , - ,275,272, - , - , - , - , - , - , - ,275,272
"新大嶼山巴士
NLB",,,單層  SD, - , - ,96,95,2,2, - , - , - , - , - ,98,97
,,,雙層  DD, - , - ,58,58, - , - , - , - , - , - , - ,58,58
"港鐵巴士 (西鐵線/輕鐵)
MTR Buses (for West Rail Line/Light Rail)",,,單層  SD, - , - ,11,11, - , - , - , - , - , - , - ,11,11
,,,雙層  DD, - , - ,133,133, - , - , - , - , - , - , - ,133,133
"其他非專營公共巴士
Other Non-franchised Public Buses",,,單層  SD, - , - , 6 870 , 6 812 ,8,7, - , - , - , - , - , 6 878 , 6 819 
,,,雙層  DD, - , - ,171,171, - , - , - , - , - , - , - ,171,171
"私家巴士
Private Buses",,,單層  SD, - , - ,712,710,2,2, - , - , - , - , - ,714,712
,,,雙層  DD, - , - ,29,27, - , - , - , - , - , - , - ,29,27
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
表 4.4,,(續)      ,,,,,,,,,,,,,,
Table 4.4,,(cont'd)      ,,,,,,,,,,,,,,2020/01
,,,,,,,,,,,,,,,,
,,,,汽油,,柴油,,電力,,石油氣,,,其他 (1),,總計,
,,,,Petrol,,Diesel,,Electric,,LP Gas,,,Others (1),,Total,
,,,,登記總數,領牌總數,登記總數,領牌總數,登記總數,領牌總數,登記總數,,領牌總數,登記總數,領牌總數,登記總數,領牌總數
,,,,Registered,Licensed,Registered,Licensed,Registered,Licensed,Registered,,Licensed,Registered,Licensed,Registered,Licensed
,,,,,,,,,,,,,,,,
"公共小型巴士
Public Light Buses",,,, - , - ,782,780, - , - , 3 568 , - , 3 542 , - , - , 4 350 , 4 322 
"私家小型巴士
Private Light Buses",,,, - , - , 2 366 , 2 340 ,6,6, 1 120 , - , 1 118 , - , - , 3 492 , 3 464 
"輕型貨車
Light Goods Vehicles",,,,664,461, 73 581 , 71 085 ,131,121, - , - , - , - , - , 74 376 , 71 667 
"中型貨車
Medium Goods Vehicles",,,, - , - , 36 428 , 35 278 , - , - , - , - , - , - , - , 36 428 , 35 278 
"重型貨車
Heavy Goods Vehicles",,,, - , - , 6 654 , 6 377 , - , - , - , - , - , - , - , 6 654 , 6 377 
"特別用途車輛
Special Purpose Vehicles",,,,63,51, 1 658 , 1 516 ,106,94,184, - ,153,2,2, 2 013 , 1 816 
"總計 (2)
Total (2)",,,, 688 421 , 608 409 , 147 682 , 142 669 , 13 858 , 13 470 , 23 032 ,, 22 941 ,96,69, 873 089 , 787 558 
,,,,,,,,,,,,,,,,
註 :,,  月底數字,,,,,,,Notes :,,Figures as at end of the month.,,,,,
,,(1)   包括各種其發動機為「渦輪引擎」、「燃油電池車」,,,,,,,,-1,"Including various vehicles with power plants such as turbine engines, fuel cell vehicles, etc. of which fuel types cannot be further classified.",,,,,
,,        等的車輛，它們的燃料種類不能進一步被劃分。,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,(2)   不包括政府車輛。,,,,,,,,-2,Excluding government vehicles.,,,,,
,,SD -  單層,,,,,,,,SD,#NAME?,,,,,
,,DD -  雙層,,,,,,,,DD,#NAME?,,,,,
,,,,,,,,,,,,,,,,
資料來源 : ,,  牌照電腦計劃及牌照事務部,,,,,,,Source : ,,VALID & Licensing Division ,,,,,
