EV,PETROL,DIESEL,period
7025,569159,7773,201701
7626,569669,7933,201702
10589,570458,8279,201703
10588,570858,8644,201704
10593,571671,9174,201705
10601,572472,9549,201706
10603,573048,9917,201707
10617,573670,10661,201708
10612,574788,11543,201709
10618,575662,11622,201710
10649,576912,11707,201711
10666,577961,11760,201712
