,,,,Petrol,,Diesel,,Electric,,LP Gas,,,Others (1),,Total,
,,,,Registered,Licensed,Registered,Licensed,Registered,Licensed,Registered,,Licensed,Registered,Licensed,Registered,Licensed
"電單車 (無邊卡)
Motor Cycles (Solo)",,,, 84 954 , 57 697 , - , - ,18,13, - ,, - , - , - , 84 972 , 57 710 
"電單車 (連邊卡)
Motor Cycles (Combo)",,,,113,84, - , - , - , - , - ,, - , - , - ,113,84
"機動三輪車
Motor Tricycles",,,,830,748, - , - , - , - , - ,, - , - , - ,830,748
"私家車
Private Cars",,,, 605 406 , 539 708 , 11 975 , 11 161 , 14 331 , 13 458 , - ,, - ,96,64, 631 808 , 564 391 
"的士 (市區)
Taxis (Urban)",,,,3,3, - , - , - , - , 15 247 ,, 15 180 , - , - , 15 250 , 15 183 
"的士 (新界)
Taxis (NT)",,,, - , - , - , - , - , - , 2 838 ,, 2 814 , - , - , 2 838 , 2 814 
"的士 (大嶼山)
Taxis (Lantau)",,,, - , - , - , - , - , - ,75,,75, - , - ,75,75
"九巴
KMB",,,單層  SD, - , - ,126,123,18,17, - , - , - , - , - ,144,140
,,,雙層  DD, - , - , 4 026 , 3 877 , - , - , - , - , - , - , - , 4 026 , 3 877 
"城巴
Citybus",,,單層  SD, - , - ,32,32,6,5, - , - , - , - , - ,38,37
,,,雙層  DD, - , - , 1 008 ,977, - , - , - , - , - , - , - , 1 008 ,977
"新巴
NWFB",,,單層  SD, - , - ,13,13,4,4, - , - , - , - , - ,17,17
,,,雙層  DD, - , - ,674,664, - , - , - , - , - , - , - ,674,664
"龍運
LWB",,,單層  SD, - , - , - , - ,4,4, - , - , - , - , - ,4,4
,,,雙層  DD, - , - ,275,270, - , - , - , - , - , - , - ,275,270
"新大嶼山巴士
NLB",,,單層  SD, - , - ,95,95,2,2, - , - , - , - , - ,97,97
,,,雙層  DD, - , - ,58,58, - , - , - , - , - , - , - ,58,58
"港鐵巴士 (西鐵線/輕鐵)
MTR Buses (for West Rail Line/Light Rail)",,,單層  SD, - , - ,11,11, - , - , - , - , - , - , - ,11,11
,,,雙層  DD, - , - ,133,132, - , - , - , - , - , - , - ,133,132
"其他非專營公共巴士
Other Non-franchised Public Buses",,,單層  SD, - , - , 6 870 , 6 726 ,6,5, - , - , - , - , - , 6 876 , 6 731 
,,,雙層  DD, - , - ,171,170, - , - , - , - , - , - , - ,171,170
"私家巴士
Private Buses",,,單層  SD, - , - ,716,703,2,1, - , - , - , - , - ,718,704
,,,雙層  DD, - , - ,29,27, - , - , - , - , - , - , - ,29,27
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
表 4.4,,(續)      ,,,,,,,,,,,,,,
Table 4.4,,(cont'd)      ,,,,,,,,,,,,,,2020/03
,,,,,,,,,,,,,,,,
,,,,汽油,,柴油,,電力,,石油氣,,,其他 (1),,總計,
,,,,Petrol,,Diesel,,Electric,,LP Gas,,,Others (1),,Total,
,,,,登記總數,領牌總數,登記總數,領牌總數,登記總數,領牌總數,登記總數,,領牌總數,登記總數,領牌總數,登記總數,領牌總數
,,,,Registered,Licensed,Registered,Licensed,Registered,Licensed,Registered,,Licensed,Registered,Licensed,Registered,Licensed
,,,,,,,,,,,,,,,,
"公共小型巴士
Public Light Buses",,,, - , - ,783,781, - , - , 3 566 , - , 3 509 , - , - , 4 349 , 4 290 
"私家小型巴士
Private Light Buses",,,, - , - , 2 372 , 2 329 ,6,6, 1 122 , - , 1 112 , - , - , 3 500 , 3 447 
"輕型貨車
Light Goods Vehicles",,,,661,478, 73 940 , 70 710 ,141,130, - , - , - , - , - , 74 742 , 71 318 
"中型貨車
Medium Goods Vehicles",,,, - , - , 36 522 , 35 094 ,1,1, - , - , - , - , - , 36 523 , 35 095 
"重型貨車
Heavy Goods Vehicles",,,, - , - , 6 674 , 6 362 , - , - , - , - , - , - , - , 6 674 , 6 362 
"特別用途車輛
Special Purpose Vehicles",,,,63,49, 1 682 , 1 532 ,107,93,184, - ,148,2,2, 2 038 , 1 824 
"總計 (2)
Total (2)",,,, 692 030 , 598 767 , 148 185 , 141 847 , 14 646 , 13 739 , 23 032 ,, 22 838 ,98,66, 877 991 , 777 257 
,,,,,,,,,,,,,,,,
註 :,,  月底數字,,,,,,,Notes :,,Figures as at end of the month.,,,,,
,,(1)   包括各種其發動機為「渦輪引擎」、「燃油電池車」,,,,,,,,-1,"Including various vehicles with power plants such as turbine engines, fuel cell vehicles, etc. of which fuel types cannot be further classified.",,,,,
,,        等的車輛，它們的燃料種類不能進一步被劃分。,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,(2)   不包括政府車輛。,,,,,,,,-2,Excluding government vehicles.,,,,,
,,SD -  單層,,,,,,,,SD,#NAME?,,,,,
,,DD -  雙層,,,,,,,,DD,#NAME?,,,,,
,,,,,,,,,,,,,,,,
資料來源 : ,,  牌照電腦計劃及牌照事務部,,,,,,,Source : ,,VALID & Licensing Division ,,,,,
