表 4.4,,: 按燃料種類劃分的車輛登記及領牌統計數字 (二零一九年一月),,,,,,,,,,,,,,
Table 4.4,,:  Registration and Licensing of Vehicles by Fuel Type (January 2019),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2019/01
,,,,,,,,,,,,,,,,
,,,,汽油,,柴油,,電力,,石油氣,,,其他 (1),,總計,
,,,,Petrol,,Diesel,,Electric,,LP Gas,,,Others (1),,Total,
,,,,登記總數,領牌總數,登記總數,領牌總數,登記總數,領牌總數,登記總數,,領牌總數,登記總數,領牌總數,登記總數,領牌總數
,,,,Registered,Licensed,Registered,Licensed,Registered,Licensed,Registered,,Licensed,Registered,Licensed,Registered,Licensed
,,,,,,,,,,,,,,,,
"電單車 (無邊卡)
Motor Cycles (Solo)",,,, 79 377 , 55 212 , - , - ,  19 ,  10 , - ,, - , - , - , 79 396 , 55 222 
"電單車 (連邊卡)
Motor Cycles (Combo)",,,,  85 ,  66 , - , - , - , - , - ,, - , - , - ,  85 ,  66 
"機動三輪車
Motor Tricycles",,,,  680 ,  632 , - , - , - , - , - ,, - , - , - ,  680 ,  632 
"私家車
Private Cars",,,, 595 684 , 545 391 , 11 995 , 11 402 , 11 130 , 10 719 , - ,, - ,  79 ,  61 , 618 888 , 567 573 
"的士 (市區)
Taxis (Urban)",,,,  4 ,  4 , - , - , - , - , 15 246 ,, 15 231 , - , - , 15 250 , 15 235 
"的士 (新界)
Taxis (NT)",,,, - , - , - , - , - , - , 2 838 ,, 2 833 , - , - , 2 838 , 2 833 
"的士 (大嶼山)
Taxis (Lantau)",,,, - , - , - , - , - , - ,  75 ,,  75 , - , - ,  75 ,  75 
"九巴
KMB",,,單層  SD, - , - ,  131 ,  131 ,  17 ,  17 , - , - , - , - , - ,  148 ,  148 
,,,雙層  DD, - , - , 3 974 , 3 940 , - , - , - , - , - , - , - , 3 974 , 3 940 
"城巴
Citybus",,,單層  SD, - , - ,  32 ,  32 ,  6 ,  6 , - , - , - , - , - ,  38 ,  38 
,,,雙層  DD, - , - ,  969 ,  949 , - , - , - , - , - , - , - ,  969 ,  949 
"新巴
NWFB",,,單層  SD, - , - ,  13 ,  13 ,  4 ,  4 , - , - , - , - , - ,  17 ,  17 
,,,雙層  DD, - , - ,  700 ,  657 , - , - , - , - , - , - , - ,  700 ,  657 
"龍運
LWB",,,單層  SD, - , - , - , - ,  4 ,  4 , - , - , - , - , - ,  4 ,  4 
,,,雙層  DD, - , - ,  261 ,  260 , - , - , - , - , - , - , - ,  261 ,  260 
"新大嶼山巴士
NLB",,,單層  SD, - , - ,  99 ,  99 ,  2 ,  2 , - , - , - , - , - ,  101 ,  101 
,,,雙層  DD, - , - ,  53 ,  53 , - , - , - , - , - , - , - ,  53 ,  53 
