表 4.4,,: 按燃料種類劃分的車輛登記及領牌統計數字 (二零一八年三月),,,,,,,,,,,,,,
Table 4.4,,:  Registration and Licensing of Vehicles by Fuel Type (March 2018),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2018/03
,,,,,,,,,,,,,,,,
,,,,汽油,,柴油,,電力,,石油氣,,,其他 (1),,總計,
,,,,Petrol,,Diesel,,Electric,,LP Gas,,,Others (1),,Total,
,,,,登記總數,領牌總數,登記總數,領牌總數,登記總數,領牌總數,登記總數,,領牌總數,登記總數,領牌總數,登記總數,領牌總數
,,,,Registered,Licensed,Registered,Licensed,Registered,Licensed,Registered,,Licensed,Registered,Licensed,Registered,Licensed
,,,,,,,,,,,,,,,,
"電單車 (無邊卡)
Motor Cycles (Solo)",,,, 76 488 , 53 124 , - , - ,  44 ,  34 , - ,, - , - , - , 76 532 , 53 158 
"電單車 (連邊卡)
Motor Cycles (Combo)",,,,  77 ,  65 , - , - , - , - , - ,, - , - , - ,  77 ,  65 
"機動三輪車
Motor Tricycles",,,,  568 ,  530 , - , - , - , - , - ,, - , - , - ,  568 ,  530 
"私家車
Private Cars",,,, 582 045 , 535 210 , 11 934 , 11 414 , 10 692 , 10 206 , - ,, - ,  61 ,  46 , 604 732 , 556 876 
"的士 (市區)
Taxis (Urban)",,,,  10 ,  6 , - , - ,  1 ,  1 , 15 239 ,, 15 230 , - , - , 15 250 , 15 237 
"的士 (新界)
Taxis (NT)",,,, - , - , - , - , - , - , 2 838 ,, 2 833 , - , - , 2 838 , 2 833 
"的士 (大嶼山)
Taxis (Lantau)",,,, - , - , - , - , - , - ,  75 ,,  75 , - , - ,  75 ,  75 
"九巴
KMB",,,單層  SD, - , - ,  131 ,  131 ,  14 ,  14 , - , - , - , - , - ,  145 ,  145 
,,,雙層  DD, - , - , 3 828 , 3 825 , - , - , - , - , - , - , - , 3 828 , 3 825 
"城巴
Citybus",,,單層  SD, - , - ,  33 ,  32 ,  6 ,  6 , - , - , - , - , - ,  39 ,  38 
