表 4.4,,: 按燃料種類劃分的車輛登記及領牌統計數字 (二零一八年一月),,,,,,,,,,,,,,
Table 4.4,,:  Registration and Licensing of Vehicles by Fuel Type (January 2018),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2018/01
,,,,,,,,,,,,,,,,
,,,,汽油,,柴油,,電力,,石油氣,,,其他 (1),,總計,
,,,,Petrol,,Diesel,,Electric,,LP Gas,,,Others (1),,Total,
,,,,登記總數,領牌總數,登記總數,領牌總數,登記總數,領牌總數,登記總數,,領牌總數,登記總數,領牌總數,登記總數,領牌總數
,,,,Registered,Licensed,Registered,Licensed,Registered,Licensed,Registered,,Licensed,Registered,Licensed,Registered,Licensed
,,,,,,,,,,,,,,,,
"電單車 (無邊卡)
Motor Cycles (Solo)",,,, 76 072 , 53 005 , - , - ,  44 ,  34 , - ,, - , - , - , 76 116 , 53 039 
"電單車 (連邊卡)
Motor Cycles (Combo)",,,,  76 ,  64 , - , - , - , - , - ,, - , - , - ,  76 ,  64 
"機動三輪車
Motor Tricycles",,,,  544 ,  508 , - , - , - , - , - ,, - , - , - ,  544 ,  508 
"私家車
Private Cars",,,, 579 233 , 533 095 , 11 834 , 11 333 , 10 674 , 10 453 , - ,, - ,  59 ,  46 , 601 800 , 554 927 
"的士 (市區)
Taxis (Urban)",,,,  10 ,  8 , - , - ,  1 ,  1 , 15 239 ,, 15 229 , - , - , 15 250 , 15 238 
"的士 (新界)
Taxis (NT)",,,, - , - , - , - , - , - , 2 838 ,, 2 834 , - , - , 2 838 , 2 834 
"的士 (大嶼山)
Taxis (Lantau)",,,, - , - , - , - , - , - ,  75 ,,  75 , - , - ,  75 ,  75 
"九巴
KMB",,,單層  SD, - , - ,  131 ,  130 ,  14 ,  14 , - , - , - , - , - ,  145 ,  144 
,,,雙層  DD, - , - , 3 837 , 3 831 , - , - , - , - , - , - , - , 3 837 , 3 831 
"城巴
Citybus",,,單層  SD, - , - ,  33 ,  32 ,  6 ,  6 , - , - , - , - , - ,  39 ,  38 
,,,雙層  DD, - , - ,  925 ,  906 , - , - , - , - , - , - , - ,  925 ,  906 
"新巴
NWFB",,,單層  SD, - , - ,  13 ,  13 ,  4 ,  4 , - , - , - , - , - ,  17 ,  17 
,,,雙層  DD, - , - ,  698 ,  679 , - , - , - , - , - , - , - ,  698 ,  679 
"龍運
LWB",,,單層  SD, - , - , - , - ,  4 ,  4 , - , - , - , - , - ,  4 ,  4 
,,,雙層  DD, - , - ,  243 ,  240 , - , - , - , - , - , - , - ,  243 ,  240 
"新大嶼山巴士
NLB",,,單層  SD, - , - ,  112 ,  112 , - , - , - , - , - , - , - ,  112 ,  112 
,,,雙層  DD, - , - ,  12 ,  12 , - , - , - , - , - , - , - ,  12 ,  12 
"港鐵巴士 (西鐵線/輕鐵)
MTR Buses (for West Rail Line/Light Rail)",,,單層  SD, - , - ,  11 ,  11 , - , - , - , - , - , - , - ,  11 ,  11 
,,,雙層  DD, - , - ,  129 ,  128 , - , - , - , - , - , - , - ,  129 ,  128 
